ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
1619,비에 맞아 축업은 살과 옷 냄새.,,여자의 냄새,김소월,"귀찮음, 지긋지긋","힘듦/지침, 지긋지긋, 불평/불만","부담/안_내킴, 역겨움/징그러움, 짜증",없음
1620,푸른 바다…… 어즈리는 배……,,여자의 냄새,김소월,"흐뭇함(귀여움/예쁨), 신기함/관심","비장함, 서러움, 신기함/관심",없음,"불안/걱정, 불쌍함/연민, 기대감"
1621,보드랍은 그립은 어떤 목숨의,,여자의 냄새,김소월,"아껴주는, 안타까움/실망, 불쌍함/연민, 불안/걱정","아껴주는, 불쌍함/연민, 불안/걱정, 서러움, 슬픔, 안타까움/실망","기대감, 불쌍함/연민, 서러움, 안타까움/실망","불쌍함/연민, 슬픔, 힘듦/지침"
1622,조그마한 푸릇한 그무러진 영(靈),,여자의 냄새,김소월,"신기함/관심, 없음","신기함/관심, 아껴주는, 불쌍함/연민, 서러움, 불안/걱정, 안타까움/실망","당황/난처, 부담/안_내킴, 불쌍함/연민, 불안/걱정","불쌍함/연민, 불안/걱정, 슬픔"
1623,어우러져 빗기는 살의 아우성……,,여자의 냄새,김소월,"공포/무서움, 불안/걱정, 놀람, 당황/난처, 부담/안_내킴, 힘듦/지침","기쁨, 불안/걱정, 서러움, 아껴주는","당황/난처, 부끄러움, 부담/안_내킴","경악, 공포/무서움, 놀람, 당황/난처, 불안/걱정"
1624,다시는 장사(葬事) 지나간 숲속에 냄새.,,여자의 냄새,김소월,"공포/무서움, 불안/걱정, 역겨움/징그러움","서러움, 슬픔, 불안/걱정, 공포/무서움","공포/무서움, 놀람, 당황/난처, 슬픔","감동/감탄, 아껴주는, 신기함/관심"
1625,유령(幽靈) 실은 널뛰는 뱃간에 냄새.,,여자의 냄새,김소월,"공포/무서움, 불평/불만, 역겨움/징그러움, 의심/불신","불안/걱정, 공포/무서움, 경악, 놀람, 신기함/관심","공포/무서움, 깨달음, 부담/안_내킴, 불안/걱정","불안/걱정, 슬픔"
1626,생고기의 바다의 냄새.,,여자의 냄새,김소월,"부담/안_내킴, 신기함/관심, 없음","신기함/관심, 없음, 놀람, 서러움, 아껴주는, 슬픔","경악, 당황/난처, 부담/안_내킴, 불안/걱정, 역겨움/징그러움",신기함/관심
1627,늦은 봄의 하늘을 떠도는 냄새.,,여자의 냄새,김소월,"흐뭇함(귀여움/예쁨), 편안/쾌적, 신기함/관심","편안/쾌적, 행복","기대감, 기쁨, 신기함/관심","감동/감탄, 기대감, 신기함/관심, 아껴주는, 즐거움/신남"
1628,모래언덕 바람은 그물안개를 불고,,여자의 냄새,김소월,"신기함/관심, 없음","신기함/관심, 없음","감동/감탄, 깨달음, 놀람, 당황/난처, 신기함/관심",없음
1629,먼 거리의 불빛은 달저녁을 울어라.,,여자의 냄새,김소월,"슬픔, 서러움","슬픔, 서러움, 불안/걱정, 안타까움/실망","부담/안_내킴, 불안/걱정, 안타까움/실망, 힘듦/지침",없음
1630,냄새 많은 그 몸이 좋습니다.,,여자의 냄새,김소월,"아껴주는, 환영/호의","흐뭇함(귀여움/예쁨), 기쁨, 아껴주는, 신기함/관심","기쁨, 불쌍함/연민, 뿌듯함, 아껴주는, 행복","감동/감탄, 아껴주는, 환영/호의, 신기함/관심"
1631,"불빛에 떠오르는 새뽀얀 얼굴,",,분 얼굴,김소월,"흐뭇함(귀여움/예쁨), 뿌듯함","흐뭇함(귀여움/예쁨), 기쁨","기대감, 기쁨, 아껴주는, 흐뭇함(귀여움/예쁨)","감동/감탄, 기쁨, 기대감, 신기함/관심, 아껴주는, 흐뭇함(귀여움/예쁨), 행복"
1632,"그 얼굴이 보내는 호젓한 냄새,",,분 얼굴,김소월,"기대감, 흐뭇함(귀여움/예쁨), 아껴주는, 신기함/관심","기대감, 흐뭇함(귀여움/예쁨), 아껴주는, 신기함/관심, 편안/쾌적, 감동/감탄, 환영/호의","기쁨, 아껴주는, 환영/호의","불쌍함/연민, 슬픔, 힘듦/지침"
1633,"오고가는 입술의 주고받는 잔(盞),",,분 얼굴,김소월,즐거움/신남,"기대감, 아껴주는, 환영/호의, 안심/신뢰, 흐뭇함(귀여움/예쁨)","부담/안_내킴, 안타까움/실망, 슬픔","기쁨, 행복, 환영/호의"
1634,가느스름한 손길은 아른대여라.,,분 얼굴,김소월,"아껴주는, 불쌍함/연민, 신기함/관심","아껴주는, 신기함/관심, 기대감, 불안/걱정, 서러움, 흐뭇함(귀여움/예쁨)","기대감, 불쌍함/연민, 불안/걱정, 아껴주는","안타까움/실망, 아껴주는, 슬픔"
1635,검으스러하면서도 붉으스러한,,분 얼굴,김소월,"없음, 신기함/관심","신기함/관심, 놀람, 불안/걱정, 기대감",없음,"안타까움/실망, 슬픔"
1636,어렴풋하면서도 다시 분명(分明)한,,분 얼굴,김소월,"기대감, 깨달음, 신기함/관심","깨달음, 서러움","감동/감탄, 기대감, 깨달음, 신기함/관심","불안/걱정, 의심/불신"
1637,"줄그늘 위에 그대의 목노리,",,분 얼굴,김소월,"아껴주는, 신기함/관심, 흐뭇함(귀여움/예쁨)","아껴주는, 신기함/관심, 흐뭇함(귀여움/예쁨), 불안/걱정, 서러움","감동/감탄, 당황/난처, 부담/안_내킴, 불안/걱정, 슬픔, 서러움","감동/감탄, 기대감, 기쁨, 아껴주는, 행복"
1638,달빛이 수풀 위를 떠 흐르는가.,,분 얼굴,김소월,"신기함/관심, 기대감","신기함/관심, 기대감, 감동/감탄, 놀람, 아껴주는, 서러움","감동/감탄, 기대감, 신기함/관심, 흐뭇함(귀여움/예쁨)","신기함/관심, 아껴주는"
1639,그대하고 나하고 또는 그 계집,,분 얼굴,김소월,없음,"기대감, 불안/걱정, 서러움, 아껴주는",없음,"불안/걱정, 의심/불신, 부담/안_내킴, 불평/불만"
1640,"밤에 노는 세 사람, 밤의 세 사람,",,분 얼굴,김소월,"신기함/관심, 없음","신기함/관심, 없음, 기대감",없음,"신기함/관심, 불안/걱정, 없음"
1641,다시금 술잔 위의 긴 봄밤은,,분 얼굴,김소월,"흐뭇함(귀여움/예쁨), 신기함/관심","기쁨, 편안/쾌적, 행복","기대감, 신기함/관심","슬픔, 불안/걱정, 힘듦/지침"
1642,소리도 없이 창(窓)밖으로 새여 빠져라.,,분 얼굴,김소월,"기대감, 없음, 재미없음","놀람, 서러움, 슬픔, 신기함/관심",없음,"슬픔, 아껴주는, 재미없음, 힘듦/지침"
1643,하소연하며 한숨을 지으며,,맘에 있는 말이라고 다 할까 보냐,김소월,"슬픔, 서러움, 불안/걱정","슬픔, 서러움, 불안/걱정, 힘듦/지침, 안타까움/실망","불안/걱정, 안타까움/실망","불안/걱정, 힘듦/지침, 지긋지긋"
1644,세상을 괴로워하는 사람들이어!,,맘에 있는 말이라고 다 할까 보냐,김소월,"아껴주는, 불쌍함/연민, 환영/호의","아껴주는, 불쌍함/연민, 비장함, 슬픔, 힘듦/지침","부담/안_내킴, 불쌍함/연민, 불평/불만, 비장함, 안타까움/실망","불쌍함/연민, 슬픔, 안타까움/실망"
1645,말을 나쁘지 않도록 조히 꾸밈은,,맘에 있는 말이라고 다 할까 보냐,김소월,"기대감, 없음, 당황/난처, 부담/안_내킴","불안/걱정, 서러움, 아껴주는","기대감, 기쁨, 부끄러움, 아껴주는",아껴주는
1646,"달아진 이 세상의 버릇이라고, 오오 그대들!",,맘에 있는 말이라고 다 할까 보냐,김소월,"기대감, 한심함, 불안/걱정, 안타까움/실망","안타까움/실망, 불쌍함/연민, 불안/걱정","감동/감탄, 기쁨, 깨달음, 흐뭇함(귀여움/예쁨), 없음","경악, 놀람, 부담/안_내킴, 안타까움/실망, 의심/불신"
1647,맘에 있는 말이라고 다 할까보냐.,,맘에 있는 말이라고 다 할까 보냐,김소월,"의심/불신, 우쭐댐/무시함","의심/불신, 서러움, 슬픔, 한심함, 안타까움/실망, 당황/난처, 불안/걱정","깨달음, 당황/난처, 부담/안_내킴, 불안/걱정, 불평/불만","불안/걱정, 부담/안_내킴, 의심/불신"
1648,"두세 번(番) 생각하라, 위선(爲先) 그것이",,맘에 있는 말이라고 다 할까 보냐,김소월,"한심함, 비장함, 의심/불신","한심함, 지긋지긋, 안타까움/실망, 슬픔, 불평/불만","불안/걱정, 의심/불신","의심/불신, 불안/걱정"
1649,저부터 밑지고 들어가는 장사일진댄.,,맘에 있는 말이라고 다 할까 보냐,김소월,"안타까움/실망, 불안/걱정, 불쌍함/연민","안타까움/실망, 불안/걱정, 불쌍함/연민, 서러움, 불평/불만, 짜증","부담/안_내킴, 안타까움/실망","불안/걱정, 불평/불만, 당황/난처, 부담/안_내킴"
1650,"사는 법(法)이 근심은 못 갈은다고,",,맘에 있는 말이라고 다 할까 보냐,김소월,불안/걱정,"불안/걱정, 서러움, 슬픔, 안타까움/실망","슬픔, 힘듦/지침, 없음","비장함, 슬픔, 힘듦/지침"
1651,남의 설움을 남은 몰라라.,,맘에 있는 말이라고 다 할까 보냐,김소월,서러움,"서러움, 슬픔","서러움, 슬픔, 안타까움/실망","불쌍함/연민, 안타까움/실망, 슬픔, 서러움"
1652,"말 마라, 세상, 세상 사람은",,맘에 있는 말이라고 다 할까 보냐,김소월,"한심함, 감동/감탄, 화남/분노, 증오/혐오, 힘듦/지침, 부담/안_내킴, 비장함","한심함, 화남/분노, 증오/혐오, 힘듦/지침, 부담/안_내킴, 불안/걱정, 서러움, 의심/불신, 지긋지긋, 안타까움/실망","불평/불만, 안타까움/실망, 화남/분노","서러움, 안타까움/실망, 절망"
1653,세상에 좋은 이름 좋은 말로서,,맘에 있는 말이라고 다 할까 보냐,김소월,"편안/쾌적, 환영/호의, 안심/신뢰","편안/쾌적, 환영/호의, 안심/신뢰, 기대감, 뿌듯함, 아껴주는","감동/감탄, 기대감, 아껴주는, 행복",의심/불신
1654,한 사람을 속옷마저 벗긴 뒤에는,,맘에 있는 말이라고 다 할까 보냐,김소월,"불안/걱정, 경악, 당황/난처, 부담/안_내킴, 불평/불만, 역겨움/징그러움, 증오/혐오, 패배/자기혐오","불안/걱정, 공포/무서움, 당황/난처, 불쌍함/연민, 불평/불만, 안타까움/실망, 화남/분노","경악, 공포/무서움, 놀람, 당황/난처, 부담/안_내킴, 불안/걱정","경악, 공포/무서움, 불안/걱정, 불쌍함/연민, 의심/불신, 증오/혐오"
1655,"그를 네길거리에 세워 놓아라, 장승도 마치한가지.",,맘에 있는 말이라고 다 할까 보냐,김소월,"비장함, 없음","비장함, 없음","부담/안_내킴, 불평/불만, 증오/혐오","안타까움/실망, 불평/불만"
1656,"이 무슨 일이냐, 그날로부터,",,맘에 있는 말이라고 다 할까 보냐,김소월,"어이없음, 놀람, 당황/난처, 경악, 불안/걱정, 불평/불만, 짜증, 지긋지긋","경악, 놀람, 불안/걱정, 안타까움/실망","놀람, 불안/걱정, 신기함/관심, 의심/불신","놀람, 당황/난처, 슬픔, 절망"
1657,세상 사람들은 제각금 제 비위(脾胃)의 헐한 값으로,,맘에 있는 말이라고 다 할까 보냐,김소월,"부담/안_내킴, 불안/걱정, 지긋지긋, 패배/자기혐오","안타까움/실망, 슬픔, 불쌍함/연민","깨달음, 불쌍함/연민, 불평/불만, 비장함, 안타까움/실망, 지긋지긋, 힘듦/지침","깨달음, 안타까움/실망, 불평/불만"
1658,그의 몸값을 매마쟈고 덤벼들어라.,,맘에 있는 말이라고 다 할까 보냐,김소월,"비장함, 불안/걱정, 기대감","비장함, 불안/걱정, 불쌍함/연민, 당황/난처, 서러움, 경악, 놀람, 어이없음","놀람, 증오/혐오, 한심함","화남/분노, 증오/혐오, 부끄러움"
1659,"오오 그러면, 그대들은 이후에라도",,맘에 있는 말이라고 다 할까 보냐,김소월,"감동/감탄, 기대감, 신기함/관심","감동/감탄, 기대감, 신기함/관심, 안심/신뢰, 환영/호의","기대감, 놀람, 깨달음, 환영/호의","기대감, 놀람, 신기함/관심, 환영/호의"
1660,"하늘을 우러르라, 그저 혼자, 섧거나 괴롭거나.",,맘에 있는 말이라고 다 할까 보냐,김소월,"서러움, 존경, 죄책감, 패배/자기혐오","서러움, 존경, 패배/자기혐오, 슬픔, 불쌍함/연민","감동/감탄, 기대감, 기쁨, 환영/호의","슬픔, 힘듦/지침, 비장함"
1661,어버이님네들이 외우는 말이,,훗길,김소월,"신기함/관심, 없음","아껴주는, 신기함/관심",없음,"부담/안_내킴, 재미없음, 힘듦/지침"
1662,딸과 아들을 기르기는,,훗길,김소월,"없음, 힘듦/지침","없음, 힘듦/지침, 기대감","흐뭇함(귀여움/예쁨), 아껴주는","아껴주는, 기대감, 기쁨, 행복"
1663,훗길을 보자는 심성(心誠)이로라.,,훗길,김소월,"기대감, 불안/걱정","깨달음, 비장함, 감동/감탄, 기대감","깨달음, 놀람, 당황/난처, 부담/안_내킴, 불안/걱정","기대감, 비장함, 기쁨, 행복"
1664,"그러하다, 분명(分明)히 그네들도",,훗길,김소월,"비장함, 깨달음","비장함, 깨달음, 기대감, 안심/신뢰","깨달음, 불안/걱정","깨달음, 아껴주는, 불쌍함/연민"
1665,두 어버이 틈에서 생겼어라.,,훗길,김소월,없음,"없음, 깨달음, 비장함, 아껴주는","고마움, 아껴주는","깨달음, 아껴주는, 존경"
1666,"그러나 그 무엇이냐, 우리 사람!",,훗길,김소월,"아껴주는, 감동/감탄, 깨달음","기대감, 깨달음, 비장함, 서러움, 안심/신뢰, 아껴주는",없음,"불안/걱정, 힘듦/지침"
1667,손들어 가르치던 먼 훗날에,,훗길,김소월,"없음, 기대감","기대감, 서러움, 슬픔, 안심/신뢰, 비장함","감동/감탄, 기대감, 깨달음, 비장함","힘듦/지침, 기대감, 슬픔"
1668,그네들이 또다시 자라 커서,,훗길,김소월,"아껴주는, 고마움, 없음","아껴주는, 기대감, 기쁨, 뿌듯함","감동/감탄, 기대감, 기쁨, 뿌듯함, 안심/신뢰, 흐뭇함(귀여움/예쁨)","기대감, 아껴주는, 행복"
1669,한길같이 외우는 말이,,훗길,김소월,"지긋지긋, 신기함/관심, 기대감, 부담/안_내킴","지긋지긋, 신기함/관심, 기대감, 불안/걱정",없음,"기대감, 아껴주는, 행복"
1670,훗길을 두고 가자는 심성(心誠)으로,,훗길,김소월,"슬픔, 서러움, 비장함, 안타까움/실망, 절망","비장함, 깨달음, 불안/걱정, 뿌듯함, 서러움","기대감, 기쁨, 아껴주는","기대감, 기쁨, 행복"
1671,아들딸을 늙도록 기르노라.,,훗길,김소월,"불쌍함/연민, 아껴주는, 지긋지긋, 힘듦/지침","불쌍함/연민, 아껴주는, 힘듦/지침, 불안/걱정, 서러움, 안타까움/실망","부담/안_내킴, 불쌍함/연민, 힘듦/지침, 한심함","슬픔, 존경, 힘듦/지침"
1672,"오오 아내여, 나의 사랑!",,부부,김소월,"감동/감탄, 아껴주는, 기쁨, 놀람","감동/감탄, 아껴주는, 기쁨, 놀람, 환영/호의, 행복","기대감, 기쁨, 아껴주는, 행복, 흐뭇함(귀여움/예쁨)","감동/감탄, 아껴주는, 행복, 흐뭇함(귀여움/예쁨)"
1673,하늘이 묶어준 짝이라고,,부부,김소월,"기쁨, 신기함/관심, 고마움","기쁨, 신기함/관심, 고마움, 아껴주는, 감동/감탄, 기대감, 흐뭇함(귀여움/예쁨)","불쌍함/연민, 고마움, 힘듦/지침","기쁨, 행복, 흐뭇함(귀여움/예쁨)"
1674,믿고 살음이 마땅치 아니한가.,,부부,김소월,"깨달음, 안심/신뢰, 뿌듯함, 환영/호의, 흐뭇함(귀여움/예쁨)","깨달음, 비장함, 안타까움/실망, 서러움, 슬픔","비장함, 서러움, 안타까움/실망","기대감, 아껴주는, 존경, 안심/신뢰"
1675,"아직 다시 그러랴, 안 그러랴?",,부부,김소월,"의심/불신, 불평/불만, 짜증, 증오/혐오","안심/신뢰, 기대감, 불안/걱정, 서러움","불평/불만, 의심/불신","불안/걱정, 의심/불신, 부담/안_내킴, 힘듦/지침"
1676,"이상하고 별납은 사람의 맘,",,부부,김소월,신기함/관심,"의심/불신, 안타까움/실망, 당황/난처, 불평/불만, 지긋지긋, 짜증","놀람, 당황/난처, 부담/안_내킴, 의심/불신","놀람, 불안/걱정, 당황/난처"
1677,"저 몰라라, 참인지, 거짓인지?",,부부,김소월,"의심/불신, 당황/난처, 짜증","의심/불신, 당황/난처, 불안/걱정, 서러움, 안타까움/실망","귀찮음, 당황/난처, 부끄러움, 부담/안_내킴, 없음",신기함/관심
1678,정분(情分)으로 얽은 딴 두 몸이라면.,,부부,김소월,"신기함/관심, 기대감, 아껴주는, 환영/호의","기대감, 안심/신뢰, 불안/걱정, 서러움","기대감, 신기함/관심","아껴주는, 안심/신뢰"
1679,서로 어그점인들 또 있으랴.,,부부,김소월,"불안/걱정, 의심/불신, 신기함/관심",안타까움/실망,"불쌍함/연민, 힘듦/지침","감동/감탄, 아껴주는, 안심/신뢰, 행복"
1680,한평생(限平生)이라도 반백년(半百年),,부부,김소월,없음,"서러움, 슬픔, 안타까움/실망, 불평/불만","고마움, 뿌듯함, 흐뭇함(귀여움/예쁨)","아껴주는, 안심/신뢰, 행복, 기대감"
1681,못 사는 이 인생(人生)에!,,부부,김소월,"놀람, 당황/난처, 부끄러움, 불평/불만, 한심함, 패배/자기혐오, 화남/분노","부끄러움, 불평/불만, 한심함, 패배/자기혐오, 화남/분노, 서러움, 슬픔, 안타까움/실망","감동/감탄, 슬픔, 서러움","절망, 경악, 불평/불만, 비장함, 서러움"
1682,연분(緣分)의 긴 실이 그 무엇이랴?,,부부,김소월,"의심/불신, 없음","감동/감탄, 기대감, 깨달음, 뿌듯함, 아껴주는, 안심/신뢰, 환영/호의","기쁨, 깨달음, 비장함","신기함/관심, 아껴주는, 안심/신뢰, 기대감"
1683,"나는 말하려노라, 아무려나,",,부부,김소월,"비장함, 없음","비장함, 없음",비장함,"비장함, 불안/걱정"
1684,죽어서도 한 곳에 묻히더라.,,부부,김소월,"깨달음, 아껴주는","깨달음, 아껴주는, 서러움, 슬픔, 행복, 기쁨, 감동/감탄, 뿌듯함","불쌍함/연민, 비장함","감동/감탄, 존경, 환영/호의"
1685,"마소의 무리와 사람들은 돌아들고, 적적히 빈 들에,",,저녁때,김소월,재미없음,"재미없음, 서러움","부담/안_내킴, 없음","슬픔, 힘듦/지침, 편안/쾌적, 재미없음"
1686,엉머구리 소리 우거져라.,,저녁때,김소월,"감동/감탄, 없음","없음, 감동/감탄, 서러움, 신기함/관심, 아껴주는, 편안/쾌적",신기함/관심,"기쁨, 즐거움/신남, 행복"
1687,"푸른 하늘은 더욱 낮추, 먼 산비탈길 어둔데",,저녁때,김소월,"불안/걱정, 없음","불안/걱정, 없음, 서러움",없음,"슬픔, 불안/걱정, 부담/안_내킴"
1688,"웃둑웃둑한 드높은 나무, 잘새도 깃들어라.",,저녁때,김소월,"흐뭇함(귀여움/예쁨), 기대감, 기쁨, 아껴주는, 환영/호의","감동/감탄, 아껴주는, 뿌듯함","기대감, 아껴주는, 흐뭇함(귀여움/예쁨)","편안/쾌적, 기대감, 안심/신뢰"
1689,볼수록 넓은 벌의,,저녁때,김소월,"없음, 감동/감탄","놀람, 감동/감탄, 불안/걱정, 신기함/관심",없음,"신기함/관심, 슬픔, 비장함"
1690,물빛을 물끄러미 들여다보며,,저녁때,김소월,"신기함/관심, 흐뭇함(귀여움/예쁨)","신기함/관심, 흐뭇함(귀여움/예쁨), 기대감, 불안/걱정",없음,"감동/감탄, 편안/쾌적"
1691,고개 숙우리고 박은 듯이 홀로 서서,,저녁때,김소월,"슬픔, 당황/난처, 절망, 없음","슬픔, 절망, 비장함, 불안/걱정, 서러움","부담/안_내킴, 불쌍함/연민, 서러움, 당황/난처, 슬픔, 안타까움/실망, 한심함","불안/걱정, 절망, 힘듦/지침, 패배/자기혐오"
1692,"긴 한숨을 짓느냐, 왜 이다지!",,저녁때,김소월,"패배/자기혐오, 한심함, 지긋지긋","불평/불만, 안타까움/실망, 당황/난처, 부담/안_내킴, 불안/걱정, 짜증","불안/걱정, 안타까움/실망, 패배/자기혐오, 한심함, 힘듦/지침","불쌍함/연민, 안타까움/실망, 슬픔, 화남/분노"
1693,"온 것을 아주 잊었어라, 깊은 밤 예서 함께",,저녁때,김소월,"비장함, 패배/자기혐오, 불안/걱정, 귀찮음, 당황/난처, 부담/안_내킴","비장함, 서러움, 슬픔, 불안/걱정, 안타까움/실망, 기쁨",비장함,"비장함, 슬픔, 절망"
1694,"몸이 생각에 가뷔엽고, 맘이 더 높이 떠오를 때.",,저녁때,김소월,"즐거움/신남, 기대감, 기쁨","즐거움/신남, 기대감, 기쁨, 뿌듯함","기대감, 기쁨, 뿌듯함, 즐거움/신남","서러움, 아껴주는, 불쌍함/연민"
1695,"문득, 멀지 않은 갈숲 새로",,저녁때,김소월,기대감,없음,없음,"기대감, 기쁨, 신기함/관심, 안심/신뢰, 아껴주는, 행복"
1696,별빛이 솟구어라.,,저녁때,김소월,"감동/감탄, 흐뭇함(귀여움/예쁨), 기대감, 즐거움/신남","감동/감탄, 흐뭇함(귀여움/예쁨), 기대감, 즐거움/신남, 놀람, 신기함/관심","기대감, 기쁨, 신기함/관심, 뿌듯함","감동/감탄, 기대감, 기쁨, 행복"
1697,들이라. 단 두 몸이라. 밤빛은 배여와라.,,합장,김소월,"환영/호의, 비장함","환영/호의, 비장함, 서러움, 슬픔, 아껴주는","비장함, 신기함/관심","불쌍함/연민, 비장함, 슬픔, 기대감"
1698,"아, 이것 봐, 우거진 나무 아래로 달 들어라.",,합장,김소월,"감동/감탄, 깨달음, 흐뭇함(귀여움/예쁨), 신기함/관심","신기함/관심, 감동/감탄, 놀람","즐거움/신남, 기대감","기대감, 기쁨, 신기함/관심, 즐거움/신남, 환영/호의, 행복"
1699,"우리는 말하며 걸었어라, 바람은 부는 대로.",,합장,김소월,편안/쾌적,"서러움, 슬픔, 힘듦/지침, 안타까움/실망, 비장함",편안/쾌적,"감동/감탄, 기대감, 기쁨, 아껴주는, 환영/호의"
1700,"등(燈)불 빛에 거리는 헤적여라, 희미한 하느편에",,합장,김소월,"힘듦/지침, 없음","힘듦/지침, 없음, 불안/걱정, 서러움","슬픔, 힘듦/지침","감동/감탄, 기쁨, 행복"
1701,고히 밝은 그림자 아득이고,,합장,김소월,"신기함/관심, 기대감, 없음","서러움, 슬픔, 신기함/관심","부담/안_내킴, 놀람, 당황/난처, 기대감","슬픔, 편안/쾌적, 불안/걱정"
1702,"퍽도 가까인, 풀밭에서 이슬이 번쩍여라.",,합장,김소월,"흐뭇함(귀여움/예쁨), 기대감, 없음","기대감, 놀람, 감동/감탄, 서러움, 슬픔","불평/불만, 안타까움/실망","감동/감탄, 기쁨, 신기함/관심, 행복"
1703,"밤은 막 깊어, 사방(四方)은 고요한데,",,합장,김소월,"불안/걱정, 편안/쾌적","불안/걱정, 편안/쾌적, 서러움","부담/안_내킴, 불안/걱정","불안/걱정, 편안/쾌적"
1704,"이마즉, 말도 안하고, 더 안가고,",,합장,김소월,"부담/안_내킴, 당황/난처, 불평/불만","부담/안_내킴, 당황/난처, 불평/불만, 서러움, 안타까움/실망, 짜증",부담/안_내킴,"의심/불신, 힘듦/지침"
1705,길가에 우두커니. 눈 감고 마주서서.,,합장,김소월,편안/쾌적,"비장함, 서러움",편안/쾌적,"비장함, 재미없음, 슬픔"
1706,먼 먼 산(山). 산(山)절의 절 종(鍾)소리. 달빛은 지새여라.,,합장,김소월,"신기함/관심, 흐뭇함(귀여움/예쁨), 아껴주는, 편안/쾌적","감동/감탄, 서러움, 아껴주는, 편안/쾌적",없음,"감동/감탄, 편안/쾌적, 아껴주는"
1707,"이슥한 밤, 밤기운 서늘할 제",,묵념,김소월,"불안/걱정, 신기함/관심, 없음",불안/걱정,"공포/무서움, 놀람, 부담/안_내킴, 불안/걱정","불안/걱정, 의심/불신, 공포/무서움"
1708,"홀로 창(窓)턱에 걸터앉아, 두 다리 늘리우고,",,묵념,김소월,"편안/쾌적, 불안/걱정, 없음","불안/걱정, 기대감, 재미없음","슬픔, 불쌍함/연민, 부담/안_내킴","불안/걱정, 힘듦/지침, 슬픔"
1709,첫 머구리 소리를 들어라.,,묵념,김소월,"기대감, 환영/호의, 없음","기대감, 환영/호의, 없음, 감동/감탄, 비장함, 서러움, 신기함/관심, 아껴주는","기대감, 기쁨","기대감, 슬픔"
1710,"애처롭게도, 그대는 먼저 혼자서 잠드누나.",,묵념,김소월,"불쌍함/연민, 불안/걱정, 슬픔, 아껴주는","불쌍함/연민, 불안/걱정, 슬픔, 아껴주는, 서러움","부담/안_내킴, 슬픔","불쌍함/연민, 불안/걱정, 서러움, 슬픔, 안타까움/실망"
1711,내 몸은 생각에 잠잠할 때. 희미한 수풀로서,,묵념,김소월,"재미없음, 편안/쾌적, 없음","편안/쾌적, 불안/걱정, 기대감, 신기함/관심","깨달음, 불안/걱정, 서러움, 슬픔, 안타까움/실망, 힘듦/지침",편안/쾌적
1712,"촌가(村家)의 액(厄)맥이제(祭) 지내는 불빛은 새여오며,",,묵념,김소월,"감동/감탄, 신기함/관심, 흐뭇함(귀여움/예쁨)","신기함/관심, 기대감, 불안/걱정, 비장함","슬픔, 불안/걱정","감동/감탄, 슬픔, 아껴주는, 안심/신뢰"
1713,"이윽고, 비난수도 머구소리와 함께 잦아져라.",,묵념,김소월,"편안/쾌적, 깨달음","불안/걱정, 서러움, 안타까움/실망","부담/안_내킴, 불안/걱정, 힘듦/지침","깨달음, 지긋지긋, 환영/호의, 불안/걱정, 기대감, 기쁨"
1714,가득히 차오는 내 심령(心靈)은…… 하늘과 땅 사이에.,,묵념,김소월,신기함/관심,"비장함, 기대감, 감동/감탄, 깨달음","서러움, 슬픔, 비장함, 안타까움/실망","서러움, 슬픔, 비장함"
1715,나는 무심히 일어걸어 그대의 잠든 몸 위에 기대여라,,묵념,김소월,"아껴주는, 편안/쾌적, 환영/호의","아껴주는, 환영/호의, 서러움, 슬픔, 비장함, 불안/걱정","기대감, 불쌍함/연민, 아껴주는, 안심/신뢰","비장함, 슬픔, 힘듦/지침, 재미없음"
1716,"움직임 다시 없이, 만뢰는 구적(俱寂)한데,",,묵념,김소월,"슬픔, 안타까움/실망, 서러움","슬픔, 안타까움/실망, 서러움, 재미없음, 불안/걱정","깨달음, 비장함",비장함
1717,조요(照耀)히 나려비추는 별빛들이,,묵념,김소월,"흐뭇함(귀여움/예쁨), 감동/감탄, 신기함/관심, 기대감","흐뭇함(귀여움/예쁨), 감동/감탄, 신기함/관심, 편안/쾌적, 아껴주는","불쌍함/연민, 신기함/관심","감동/감탄, 비장함, 편안/쾌적"
1718,"내 몸을 이끌어라, 무한(無限)히 더 가깝게.",,묵념,김소월,비장함,"비장함, 기대감","기대감, 깨달음","비장함, 힘듦/지침, 슬픔"
1719,그 누가 나를 헤내는 부르는 소리,,무덤,김소월,"기대감, 고마움, 기쁨","기대감, 불안/걱정, 놀람, 신기함/관심, 아껴주는","기대감, 아껴주는, 안심/신뢰, 환영/호의, 흐뭇함(귀여움/예쁨)","놀람, 신기함/관심, 불쌍함/연민, 불안/걱정, 슬픔, 안타까움/실망"
1720,"붉으스름한 언덕, 여기저기",,무덤,김소월,"신기함/관심, 없음","신기함/관심, 기대감, 불안/걱정","편안/쾌적, 없음","슬픔, 힘듦/지침"
1721,"돌무더기도 움직이며, 달빛에,",,무덤,김소월,"신기함/관심, 없음",신기함/관심,신기함/관심,"신기함/관심, 슬픔, 불쌍함/연민"
1722,"소리만 남은 노래 서러워 엉겨라,",,무덤,김소월,"서러움, 슬픔","서러움, 슬픔, 안타까움/실망","서러움, 슬픔, 패배/자기혐오","서러움, 슬픔, 절망, 힘듦/지침"
